participant_id,session_id,condition,total_session_duration_ms,num_disengagement_events,num_resumed_events,reengagement_success_rate,median_resume_latency_ms,mean_resume_latency_ms,effective_focused_time_ms,effective_focused_time_ratio,num_nonverbal_only_success,num_voice_escalations,num_voice_success,num_highlight_events
wenfei,session_20260415_wenfei_58066e,with_system,67954.1,0,0,,,,67954.1,1.0,0,0,0,0
wenfei,session_20260415_wenfei_6932bf,with_system,546069.5,12,12,1.0,9380.0,15123.3,364589.5,0.6677,12,0,0,0
wenfei,session_20260415_wenfei_80ca83,with_system,103251.7,0,0,,,,103251.7,1.0,0,0,0,0
wenfei,session_20260415_wenfei_950b81,with_system,933999.5,2,1,0.5,16220.0,16220.0,917779.5,0.9826,1,0,0,0
wenfei,session_20260415_wenfei_9bd4de,with_system,264501.7,1,0,0.0,,,264501.7,1.0,0,1,0,1
wenfei,session_20260415_wenfei_b70173,with_system,808894.3,4,3,0.75,15070.0,15486.7,599874.3,0.7416,3,1,0,1
wenfei,session_20260415_wenfei_bf19f2,with_system,841943.4,0,0,,,,841943.4,1.0,0,0,0,0
wenfei,session_20260415_wenfei_deebe8,with_system,297357.2,0,0,,,,297357.2,1.0,0,0,0,0
wenfei,session_20260416_wenfei_115a8d,with_system,224140.5,0,0,,,,224140.5,1.0,0,0,0,0
wenfei,session_20260416_wenfei_413b96,with_system,242084.0,0,0,,,,242084.0,1.0,0,0,0,0
wenfei,session_20260416_wenfei_753072,with_system,74884.8,3,3,1.0,13000.0,11800.0,39484.8,0.5273,3,0,0,0
wenfei,session_20260416_wenfei_878ebf,with_system,19676.3,0,0,,,,19676.3,1.0,0,0,0,0
wenfei,session_20260416_wenfei_93c108,with_system,770038.4,12,12,1.0,6815.0,7682.5,677848.4,0.8803,12,0,0,0
wenfei,session_20260416_wenfei_98555a,with_system,53578.2,0,0,,,,53578.2,1.0,0,0,0,0
wenfei,session_20260416_wenfei_ce7b51,with_system,27585.3,0,0,,,,27585.3,1.0,0,0,0,0
wenfei,session_20260416_wenfei_d188c0,with_system,956031.9,14,13,0.9286,3980.0,5908.5,704121.9,0.7365,13,1,0,1
wenfei,session_20260416_wenfei_dd12b1,with_system,764625.7,4,2,0.5,17025.0,17025.0,278605.7,0.3644,2,2,0,2
wenfei,session_20260416_wenfei_eb3a29,with_system,53090.7,0,0,,,,53090.7,1.0,0,0,0,0
hang4,session_20260417_hang4_2b2a81,with_system,370322.0,1,1,1.0,8150.0,8150.0,362172.0,0.978,1,0,0,0
hang5,session_20260417_hang5_8e5d43,with_system,84428.7,1,0,0.0,,,40528.7,0.48,0,0,0,0
hang6,session_20260417_hang6_67922b,with_system,186894.8,0,0,,,,186894.8,1.0,0,0,0,0
hang7,session_20260417_hang7_d20d7f,with_system,439846.3,0,0,,,,439846.3,1.0,0,0,0,0
hang,session_20260417_hang_4716d5,with_system,152359.2,1,0,0.0,,,77279.2,0.5072,0,1,0,1
wenfei1,session_20260417_wenfei1_c2526a,with_system,293192.6,0,0,,,,293192.6,1.0,0,0,0,0
hang3,baseline_20260417_hang3_d3454e,no_system,89275.6,5,4,0.8,3930.0,10277.5,46865.6,0.525,0,0,0,0
